,logFC,AveExpr,t,P.Value,adj.P.Val,B,threshold
PTGDS,-1.86819576,8.605519717,-6.104822912,8.88E-08,1.28E-06,7.562205865,Downregulated
S100A9,-1.874304236,12.45159703,-4.668966604,1.81E-05,0.000120888,2.39404657,Downregulated
PDGFD,-1.880826621,6.501446654,-9.130479079,7.44E-13,6.96E-11,19.03590023,Downregulated
ANXA1,-1.898493404,11.33497289,-6.715385692,8.46E-09,1.81E-07,9.862646256,Downregulated
KLK7,-1.910232589,7.177474247,-4.737200829,1.42E-05,9.82E-05,2.627847487,Downregulated
PI3,-1.946469096,10.38657194,-3.992733805,0.00018461,0.000861287,0.168558929,Downregulated
CYP2C18,-1.950278547,6.878455173,-6.914643312,3.91E-09,9.55E-08,10.61974846,Downregulated
SERPINB13,-1.970900026,8.043496789,-5.293482216,1.89E-06,1.74E-05,4.584725871,Downregulated
FGFBP1,-1.995652984,9.698286781,-5.127181474,3.48E-06,2.93E-05,3.990999171,Downregulated
APOD,-1.995723708,7.273665717,-7.526275595,3.63E-10,1.25E-08,12.95258385,Downregulated
DSG3,-2.003190297,10.41539824,-4.529263513,2.96E-05,0.000183135,1.920203092,Downregulated
CXCL14,-2.009688153,8.420599325,-5.584047659,6.39E-07,6.81E-06,5.637185486,Downregulated
ME1,-2.023279568,6.706206777,-6.146250389,7.58E-08,1.12E-06,7.717058196,Downregulated
GSTA4,-2.026635082,8.421635607,-9.659892962,1.00E-13,1.16E-11,21.00563736,Downregulated
KLK8,-2.067255853,7.705319947,-6.554165864,1.58E-08,3.05E-07,9.251932317,Downregulated
DUSP1,-2.082482781,9.064212327,-8.53065341,7.41E-12,4.65E-10,16.77662462,Downregulated
CFD,-2.127802289,7.55187325,-8.768908345,2.96E-12,2.31E-10,17.6770576,Downregulated
KRT6B,-2.154790547,11.44838197,-5.067154194,4.33E-06,3.50E-05,3.778402392,Downregulated
CRABP2,-2.175035274,10.16759632,-7.151577511,1.56E-09,4.39E-08,11.52238781,Downregulated
CSTA,-2.175858919,11.98921444,-4.693219198,1.66E-05,0.000112516,2.476973818,Downregulated
LGALS7,-2.184839273,10.5508341,-4.800876665,1.13E-05,8.00E-05,2.847366767,Downregulated
TGM1,-2.187870901,8.661852567,-6.267577647,4.76E-08,7.77E-07,8.171761848,Downregulated
GJA1,-2.195175046,9.727563699,-7.431920171,5.24E-10,1.73E-08,12.59229781,Downregulated
LORICRIN,-2.226332306,6.641411161,-4.865937307,8.97E-06,6.52E-05,3.072949299,Downregulated
SERPINB2,-2.258862395,7.397667449,-5.047394156,4.65E-06,3.73E-05,3.708627248,Downregulated
HSPB8,-2.275752843,7.691579557,-9.946379299,3.42E-14,5.38E-12,22.0602522,Downregulated
FOS,-2.328324531,9.993203374,-6.59039803,1.37E-08,2.73E-07,9.389014746,Downregulated
DSC2,-2.34352204,7.425957813,-8.925673449,1.63E-12,1.38E-10,18.26742203,Downregulated
LYPD3,-2.352013718,10.25026281,-8.002320831,5.71E-11,2.64E-09,14.76904445,Downregulated
AKR1B10,-2.381979003,9.24927934,-4.90719568,7.73E-06,5.76E-05,3.216658388,Downregulated
TGM3,-2.38558892,6.978393977,-7.09621672,1.93E-09,5.33E-08,11.31130503,Downregulated
PRSS3,-2.39179444,7.628976702,-6.995520949,2.86E-09,7.39E-08,10.92762521,Downregulated
PPL,-2.39228106,9.680415362,-10.24699322,1.12E-14,2.29E-12,23.15750272,Downregulated
S100A12,-2.406691861,7.712630558,-7.3418932,7.43E-10,2.31E-08,12.24858708,Downregulated
S100A7,-2.425664907,10.32118661,-3.448966895,0.00104939,0.003762665,-1.474954389,Downregulated
KRT2,-2.430283617,6.930749446,-8.299296666,1.81E-11,1.01E-09,15.89908571,Downregulated
CDA,-2.448100475,6.814738826,-9.669386439,9.67E-14,1.13E-11,21.04071833,Downregulated
ZNF750,-2.499984735,6.192231992,-7.937320817,7.35E-11,3.25E-09,14.5212918,Downregulated
EMP1,-2.510220519,8.267456559,-12.09670398,1.46E-17,8.54E-15,29.66975953,Downregulated
SPRR2C,-2.566733609,6.593304943,-6.796008616,6.19E-09,1.38E-07,10.16871207,Downregulated
KLK13,-2.674558242,7.810738117,-8.660939739,4.49E-12,3.18E-10,17.26946331,Downregulated
KLK11,-2.725717377,8.566448313,-7.618537303,2.53E-10,9.09E-09,13.30486826,Downregulated
FOSB,-2.804229898,8.38862807,-6.481392542,2.09E-08,3.87E-07,8.976922977,Downregulated
TMPRSS11D,-2.832481273,8.778348556,-8.179468913,2.88E-11,1.47E-09,15.44354528,Downregulated
CLCA4,-2.891693218,7.968430019,-8.563441042,6.53E-12,4.25E-10,16.90074892,Downregulated
CRYAB,-2.947749107,8.452424749,-12.51888532,3.39E-18,2.98E-15,31.09390479,Downregulated
IVL,-2.956774998,8.57643679,-9.918819895,3.80E-14,5.76E-12,21.95917021,Downregulated
HPGD,-2.984495965,6.891173162,-10.10660359,1.89E-14,3.39E-12,22.6463083,Downregulated
KLF4,-3.00220974,8.620106831,-10.23947338,1.15E-14,2.29E-12,23.13017682,Downregulated
GPX3,-3.056994318,8.430287289,-9.889573264,4.23E-14,6.21E-12,21.85181218,Downregulated
SPRR1B,-3.13931583,10.71742183,-5.637083828,5.23E-07,5.76E-06,5.831143256,Downregulated
KLK12,-3.141109564,8.519533493,-9.871137841,4.54E-14,6.44E-12,21.78409363,Downregulated
SPRR1A,-3.606969511,10.68137362,-6.798111393,6.14E-09,1.38E-07,10.17669999,Downregulated
CLIC3,-3.638906141,7.591670927,-9.353419282,3.19E-13,3.42E-11,19.86847502,Downregulated
TMPRSS11E,-3.702439291,7.916617529,-9.415728913,2.52E-13,2.77E-11,20.10038664,Downregulated
SCEL,-3.733111803,7.018835189,-10.54738573,3.70E-15,1.00E-12,24.24378926,Downregulated
PPP1R3C,-3.737227177,7.978309222,-14.23892165,1.13E-20,1.99E-17,36.64651163,Downregulated
ALOX12,-3.767441608,7.137382723,-10.85323213,1.21E-15,3.95E-13,25.33886356,Downregulated
SPRR2D,-3.804415258,10.14868794,-7.18458209,1.37E-09,3.94E-08,11.64827007,Downregulated
SLURP1,-3.840442927,7.926944796,-11.37054938,1.88E-16,8.28E-14,27.16483436,Downregulated
HOPX,-3.895499463,8.806877442,-14.61018635,3.48E-21,7.65E-18,37.79253263,Downregulated
RHCG,-3.898872329,9.760100132,-9.721282017,7.96E-14,1.00E-11,21.23232785,Downregulated
SPRR3,-3.966913766,11.04933855,-7.011212149,2.69E-09,7.12E-08,10.98738864,Downregulated
KRT4,-3.998513665,10.35306156,-7.000073377,2.81E-09,7.28E-08,10.94496315,Downregulated
KRT13,-4.026428027,11.16146209,-6.217334437,5.77E-08,9.05E-07,7.983254823,Downregulated
SPINK5,-4.042297392,10.2504613,-10.79848331,1.48E-15,4.49E-13,25.14366769,Downregulated
CRCT1,-4.516229379,7.631510866,-9.040693344,1.05E-12,9.50E-11,18.69941193,Downregulated
KRT1,-5.269924198,8.987883988,-10.92738577,9.27E-16,3.27E-13,25.60265723,Downregulated
MAL,-5.631540878,8.490637415,-16.32030269,1.88E-23,5.50E-20,42.83718526,Downregulated
CRNN,-6.214196153,8.738854455,-16.70055543,6.16E-24,2.71E-20,43.90806765,Downregulated
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
